item,itemLabel
http://www.wikidata.org/entity/Q1778098,pointwise convergence
http://www.wikidata.org/entity/Q1779061,Super-Poulet number
http://www.wikidata.org/entity/Q1789454,Bertrand's test
http://www.wikidata.org/entity/Q1807042,de Longchamps point
http://www.wikidata.org/entity/Q1826656,Stammler circle
http://www.wikidata.org/entity/Q1837368,Cayley line
http://www.wikidata.org/entity/Q1838039,M'Cay cubic
http://www.wikidata.org/entity/Q1868517,local field
http://www.wikidata.org/entity/Q1878827,Lyndon word
http://www.wikidata.org/entity/Q1888119,trilinear coordinates
http://www.wikidata.org/entity/Q1893717,Rice's theorem
http://www.wikidata.org/entity/Q1897973,myriagon
http://www.wikidata.org/entity/Q1930388,register machine
http://www.wikidata.org/entity/Q1935235,Mittag-Leffler function
http://www.wikidata.org/entity/Q1967149,Minkowski's question mark function
http://www.wikidata.org/entity/Q1969054,essential supremum
http://www.wikidata.org/entity/Q2509500,sentence
http://www.wikidata.org/entity/Q10290214,event
http://www.wikidata.org/entity/Q49918,statistical population
http://www.wikidata.org/entity/Q11712069,subscript
http://www.wikidata.org/entity/Q6659977,superscript
http://www.wikidata.org/entity/Q472971,space in mathematics
http://www.wikidata.org/entity/Q1258741,game board
http://www.wikidata.org/entity/Q6401153,Sturm-Liouville equation
http://www.wikidata.org/entity/Q205,infinity
http://www.wikidata.org/entity/Q36253,length
http://www.wikidata.org/entity/Q200227,negative real number
http://www.wikidata.org/entity/Q11465,velocity
http://www.wikidata.org/entity/Q944238,Parseval's identity
http://www.wikidata.org/entity/Q12507,sphere
http://www.wikidata.org/entity/Q37555,polygon
http://www.wikidata.org/entity/Q1321469,order topology
http://www.wikidata.org/entity/Q1783746,concyclic points
http://www.wikidata.org/entity/Q574946,logical NOR
http://www.wikidata.org/entity/Q218005,sum
http://www.wikidata.org/entity/Q182186,pentagram
http://www.wikidata.org/entity/Q172891,Elements
http://www.wikidata.org/entity/Q274502,degree of freedom
http://www.wikidata.org/entity/Q959831,girth
http://www.wikidata.org/entity/Q2004951,Cartan matrix
http://www.wikidata.org/entity/Q2006396,quadratic irrational
http://www.wikidata.org/entity/Q2013347,triaugmented dodecahedron
http://www.wikidata.org/entity/Q2023304,gyroelongated triangular bicupola
http://www.wikidata.org/entity/Q2040587,Arnold tongue
http://www.wikidata.org/entity/Q2045894,Cesàro mean
http://www.wikidata.org/entity/Q2145900,weird number
http://www.wikidata.org/entity/Q2204117,symmetric tensor
http://www.wikidata.org/entity/Q2258374,perspective center
http://www.wikidata.org/entity/Q2260391,elongated square gyrobicupola
http://www.wikidata.org/entity/Q2283848,mnemonics in trigonometry
http://www.wikidata.org/entity/Q2293800,Sylvester's sequence
http://www.wikidata.org/entity/Q2346201,Bernoulli polynomials
http://www.wikidata.org/entity/Q2346904,Euler's criterion
http://www.wikidata.org/entity/Q2370925,normal bundle
http://www.wikidata.org/entity/Q2375229,piecewise linear function
http://www.wikidata.org/entity/Q2391977,metabidiminished rhombicosidodecahedron
http://www.wikidata.org/entity/Q2392282,convex regular polychoron
http://www.wikidata.org/entity/Q2396808,Viviani's curve
http://www.wikidata.org/entity/Q2403973,class number problem
http://www.wikidata.org/entity/Q2463775,Dedekind sum
http://www.wikidata.org/entity/Q2465157,butterfly curve
